line_name,station_name,city,peak_time_avg,non_peak_avg,total_time_avg
6호선,버티고개,중구,9502.99074074074,3563.6620370370374,5048.4942129629635
6호선,보문,성북구,34068.208333333336,12010.445987654324,17524.886574074077
6호선,봉화산,중랑구,39925.04166666667,13277.868827160493,19939.66203703704
6호선,불광,은평구,18568.98148148148,8219.19290123457,10806.640046296297
6호선,삼각지,용산구,30734.152777777777,11731.47839506173,16482.14699074074
6호선,상수,마포구,41298.65740740741,20289.132716049375,25541.513888888887
6호선,상월곡,성북구,27857.814814814818,10217.55864197531,14627.622685185182
6호선,새절,은평구,56220.81018518519,19987.49228395062,29045.82175925926
6호선,석계,노원구,55431.083333333336,21008.578703703704,29614.204861111106
6호선,신내,중랑구,0.8425925925925927,0.308641975308642,0.4421296296296296
6호선,신당,중구,35810.84259259259,15143.925925925923,20310.65509259259
6호선,안암,성북구,47275.48148148148,23093.00154320988,29138.62152777778
6호선,약수,중구,16448.99074074074,5988.580246913581,8603.68287037037
6호선,역촌,은평구,18664.893518518522,6759.606481481481,9735.92824074074
6호선,연신내,은평구,3.0185185185185186,1.58641975308642,1.9444444444444444
6호선,월곡,성북구,53390.70370370371,19189.649691358023,27739.913194444438
6호선,월드컵경기장,마포구,22855.666666666668,12731.83487654321,15262.792824074071
6호선,응암,은평구,79877.69907407407,28400.885802469136,41270.08912037037
6호선,이태원,용산구,46805.277777777774,24331.407407407405,29949.875000000004
6호선,증산,은평구,44877.305555555555,16382.5,23506.20138888889
6호선,창신,종로구,15086.75,5142.35648148148,7628.454861111112
6호선,청구,중구,18468.689814814814,5638.046296296296,8845.707175925925
6호선,태릉입구,노원구,25866.27777777778,10687.666666666666,14482.319444444445
6호선,한강진,용산구,44172.32407407407,18349.347222222226,24805.091435185182
6호선,합정,마포구,57887.092592592606,24699.05555555555,32996.06481481482
6호선,화랑대,노원구,50253.71759259259,16430.94290123457,24886.636574074077
6호선,효창공원앞,용산구,32941.61111111112,10996.544753086422,16482.81134259259
7호선,가산디지털단지,금천구,246603.85185185188,42813.93981481482,93761.41782407406
7호선,강남구청,강남구,83326.12962962964,23968.317901234564,38807.770833333336
7호선,건대입구,광진구,54497.48148148148,25538.163580246917,32777.99305555557
7호선,고속터미널,서초구,62851.11574074074,29867.294753086422,38113.25000000001
7호선,공릉,노원구,52213.51851851852,20707.995370370376,28584.376157407405
7호선,광명사거리,광진구,91256.625,35491.39660493827,49432.70370370371
7호선,군자,광진구,61694.32407407407,21875.694444444445,31830.351851851854
7호선,남구로,구로구,80300.51851851851,20249.625000000004,35262.34837962963
7호선,남성,동작구,49457.81018518519,17979.751543209877,25849.266203703704
7호선,내방,서초구,70658.06481481482,20623.547839506176,33132.177083333336
7호선,노원,노원구,86292.125,39619.17901234568,51287.41550925925
7호선,논현,강남구,91546.94444444444,26246.029320987655,42571.25810185186
7호선,대림,구로구,34534.37962962963,17275.60956790124,21590.302083333336
7호선,도봉산,도봉구,45323.38888888888,16498.921296296296,23705.03819444444
7호선,뚝섬유원지,성동구,39400.130952380954,16419.30555555556,22164.511904761905
7호선,마들,노원구,56149.2638888889,20629.78086419753,29509.651620370376
7호선,먹골,중랑구,45078.88888888888,16956.983024691355,23987.45949074074
7호선,면목,중랑구,68582.60185185184,24731.69444444444,35694.4212962963
7호선,반포,서초구,24956.708333333332,10777.203703703704,14322.079861111111
7호선,보라매,동작구,35492.759259259255,11913.04012345679,17807.969907407405
7호선,사가정,중랑구,72778.08333333333,26587.354938271597,38135.037037037044
7호선,상도,동작구,49808.712962962956,19536.103395061724,27104.25578703704
7호선,상봉,중랑구,79119.46666666666,29143.449999999997,41637.45416666667
7호선,수락산,노원구,54135.56481481481,21882.498456790127,29945.765046296303
7호선,숭실대입구,동작구,57748.62037037037,24044.504629629624,32470.533564814814
7호선,신대방삼거리,동작구,68308.96296296296,23860.83179012346,34972.864583333336
7호선,신풍,영등포구,50443.21759259259,17836.703703703704,25988.332175925927
7호선,어린이대공원,광진구,64935.805555555555,27372.942901234564,36763.65856481481
